Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
nb,0.9739810549635834,4,0.0,1,1,"rose, rosebush",0,1,1,4.0,0.466,2.19e-05,1.0,0.1249999999984375,0.466,0.0,0.031566924770927526,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.8948392029018093,4,0.17557030280350208,0,0,"rose, rosebush",11,2,4,6.0,0.48650000000000004,3.307945e-05,2.0,0.299999999997,0.48650000000000004,0.14285714285510204,0.06588722711719067,0.0549999999999725,0.09090909090826446,rose,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.8612338835443735,4,0.9999999999864586,0,0,"rose, rosebush",5,2,10,5.0,0.1925,3.30699e-05,5.0,0.21428571428418366,0.1925,0.2258064516114464,0.03358180128203717,0.06849315068483768,0.09090909090826446,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.8486116381650939,4,0.3125112074526217,0,0,"rose, rosebush",0,1,5,4.0,0.186,5.13e-05,5.0,0.16666666666527777,0.186,0.3076923076899408,0.06339420512894473,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.9797728587277048,4,0.9999999999880188,0,1,wood,91,1,8,4.0,0.199,6.03e-05,8.0,0.099999999999,0.199,0.9999999999857143,0.12629543811823127,0.45499999999977253,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.9277822343410208,4,0.0,0,0,wood,0,1,2,3.0,0.442,0.000692,2.0,0.0,0.442,0.11111111110987654,0.9999998554793418,0.0,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.9052750767245357,4,0.4371273181288846,0,0,wood,44,2,5,6.0,0.1875,2.5725e-05,2.5,0.2857142857122449,0.1875,0.06451612903184183,0.02588247108571258,0.6027397260265716,0.09090909090826446,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.8870506413541495,4,0.164246610379624,0,0,wood,12,1,3,6.0,0.189,4.9e-05,3.0,0.33333333333055554,0.189,0.1538461538449704,0.0604586973416169,0.32432432432344777,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.967811471915103,4,0.478236183028076,0,1,midnight,0,1,1,7.0,0.884,1.35e-05,1.0,0.49999999999375,0.884,0.0,0.019427189480745944,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.9229256268569197,4,0.9999999999524021,0,0,midnight,0,1,3,10.0,0.797,1.78e-05,3.0,0.5714285714244898,0.797,0.09677419354776275,0.017575048002229848,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
